
Platform,Primary Platform Feature,Pricing Tier
Mailchimp,Email Campaign Building,Freemium (Free + Paid)
Constant Contact,Email Campaign Building,Paid Only - Entry Level (<$30/month)
Brevo,Marketing Automation,Freemium (Free + Paid)
Campaign Monitor,Email Campaign Building,Paid Only - Entry Level (<$30/month)
GetResponse,Marketing Automation,Freemium (Free + Paid)
ActiveCampaign,Marketing Automation,Paid Only - Mid-Range ($30-100/month)
ConvertKit,Email Campaign Building,Freemium (Free + Paid)
Klaviyo,Marketing Automation,Freemium (Free + Paid)
Mailerlite,Email Campaign Building,Freemium (Free + Paid)
Substack,Email Campaign Building,Free Plan Available
HubSpot,CRM Integration,Freemium (Free + Paid)
Marketo,Marketing Automation,Paid Only - Enterprise (>$100/month)
Pardot,Marketing Automation,Paid Only - Enterprise (>$100/month)
Iterable,Marketing Automation,Paid Only - Enterprise (>$100/month)
Sailthru,Marketing Automation,Paid Only - Enterprise (>$100/month)
Emarsys,Marketing Automation,Paid Only - Enterprise (>$100/month)
Cordial,Marketing Automation,Paid Only - Enterprise (>$100/month)
Epsilon,Marketing Automation,Paid Only - Enterprise (>$100/month)
Oracle Eloqua,Marketing Automation,Paid Only - Enterprise (>$100/month)
Zoho Campaigns,Email Campaign Building,Freemium (Free + Paid)
Freshworks,CRM Integration,Freemium (Free + Paid)
Aweber,Email Campaign Building,Freemium (Free + Paid)
Mad Mimi,Email Campaign Building,Paid Only - Entry Level (<$30/month)
iContact,Email Campaign Building,Paid Only - Entry Level (<$30/month)
Sendinblue,Marketing Automation,Freemium (Free + Paid)
Moosend,Email Campaign Building,Paid Only - Entry Level (<$30/month)
Keap,CRM Integration,Paid Only - Mid-Range ($30-100/month)
Ontraport,Marketing Automation,Paid Only - Mid-Range ($30-100/month)
Drip,Marketing Automation,Paid Only - Mid-Range ($30-100/month)
Infusionsoft,CRM Integration,Paid Only - Mid-Range ($30-100/month)
SharpSpring,Marketing Automation,Paid Only - Enterprise (>$100/month)
Ghost,Email Campaign Building,Free Plan Available
EmailOctopus,Email Campaign Building,Freemium (Free + Paid)
Sender,Email Campaign Building,Freemium (Free + Paid)
Mautic,Email Campaign Building,Free Plan Available
Mailgun,Email Campaign Building,Freemium (Free + Paid)
SendGrid,Email Campaign Building,Freemium (Free + Paid)
Amazon SES,Email Campaign Building,Freemium (Free + Paid)
Twilio,Marketing Automation,Paid Only - Mid-Range ($30-100/month)
Postmark,Email Campaign Building,Paid Only - Entry Level (<$30/month)
Mandrill,Email Campaign Building,Paid Only - Entry Level (<$30/month)
SparkPost,Email Campaign Building,Freemium (Free + Paid)
Sendpulse,Email Campaign Building,Freemium (Free + Paid)
Benchmark Email,Email Campaign Building,Freemium (Free + Paid)
Flexmail,Email Campaign Building,Paid Only - Entry Level (<$30/month)
Newsletter2Go,Email Campaign Building,Freemium (Free + Paid)
Pinpointe,Email Campaign Building,Paid Only - Entry Level (<$30/month)
Agile CRM,CRM Integration,Freemium (Free + Paid)
Nimble,CRM Integration,Paid Only - Entry Level (<$30/month)
Intercom,CRM Integration,Paid Only - Mid-Range ($30-100/month)
Segment,Analytics & Reporting,Freemium (Free + Paid)
Heap,Analytics & Reporting,Freemium (Free + Paid)
FullStory,Analytics & Reporting,Freemium (Free + Paid)
Crazy Egg,Analytics & Reporting,Paid Only - Entry Level (<$30/month)
Smartlook,Analytics & Reporting,Freemium (Free + Paid)
Sessioncam,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Okta,Analytics & Reporting,Paid Only - Mid-Range ($30-100/month)
Auth0,Analytics & Reporting,Freemium (Free + Paid)
Ping Identity,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Duo Security,Analytics & Reporting,Freemium (Free + Paid)
Tenable,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Rapid7,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Qualys,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Imperva,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Cloudflare,Analytics & Reporting,Freemium (Free + Paid)
Akamai,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Palo Alto Networks,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Cisco,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Fortinet,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Check Point,Analytics & Reporting,Paid Only - Enterprise (>$100/month)
Kaspersky,Analytics & Reporting,Freemium (Free + Paid)
McAfee,Analytics & Reporting,Paid Only - Entry Level (<$30/month)
Norton,Analytics & Reporting,Paid Only - Entry Level (<$30/month)
Bitdefender,Analytics & Reporting,Freemium (Free + Paid)
Avast,Analytics & Reporting,Freemium (Free + Paid)
AVG,Analytics & Reporting,Freemium (Free + Paid)
Malwarebytes,Analytics & Reporting,Freemium (Free + Paid)
Trend Micro,Analytics & Reporting,Paid Only - Entry Level (<$30/month)
Sophos,Analytics & Reporting,Freemium (Free + Paid)
ESET,Analytics & Reporting,Paid Only - Entry Level (<$30/month)
