platform,segment_name,ideal_merchant_profile,size_band,use_cases,fit_drivers,caveats,example_industries,example_refs,source_date,example_customer
Shopify,DTC brands,"Branded DTC with growth agenda, omni-channel aspirations",SMB ($1M–$10M GMV) → Mid‑market ($10M–$50M GMV),"DTC storefront, subscriptions, social/marketplace, POS","Strong app ecosystem, scalable checkout (Shop Pay), lower frictions to scale","Advanced B2B requires setup; app costs can add up; third-party gateway fees if not using Shopify Payments Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Apparel, beauty, electronics",https://www.shopify.com/case-studies | https://www.shopify.com/enterprise/blog/dtc-brands,2025-10-22,Allbirds (https://www.shopify.com/ca/case-studies/allbirds)
Shopify,B2B SMBs (via B2B on Shopify),"Wholesalers with price lists/company accounts, simple workflows",Upper SMB ($10M–$25M GMV) → Mid‑market ($25M–$50M GMV),"Wholesale portals, net terms, catalogs","Native B2B on Advanced/Plus, Markets for international","Complex B2B (config/quotes/approvals) may need apps; Plus may be required Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Wholesale, food & bev, consumer goods",https://help.shopify.com/en/manual/b2b,2025-10-22,Gymshark (https://www.shopify.com/ca/case-studies/gymshark)
Shopify,Micro/early SMB,"Founders needing fast launch, core commerce",Micro (<$1M GMV) → Lower SMB ($1M–$5M GMV),"Simple catalog, basic shipping, local pickup","Ease of use, themes, channels","Advanced reports limited on lower tiers; fees vary by plan/region Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Creators, local retailers, services booking",https://www.shopify.com/pricing | https://www.shopify.com/products,2025-10-22,Gymshark (https://www.shopify.com/ca/case-studies/gymshark)
WooCommerce,Content-led sellers,WP-native publishers adding commerce,Micro (<$1M GMV) → SMB ($1M–$10M GMV),"Digital + physical, memberships, content","Tight WordPress integration, flexibility, ownership","Maintenance burden; plugin conflicts; security/hosting on merchant Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Publishing, education, niche DTC",https://woocommerce.com/woocommerce-features/,2025-10-22,Woo Showcase (https://woocommerce.com/showcase/)
WooCommerce,Cost-sensitive SMBs,Teams preferring OSS + modular paid extensions,Micro (<$1M GMV) → SMB ($1M–$10M GMV),Basic storefront with tailored plugins,"Low core cost, control, extensibility","Total cost rises with premium plugins/dev; PCI/hosting responsibilities Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Specialty retail, hobby niches",https://woocommerce.com/products/,2025-10-22,Woo Showcase (https://woocommerce.com/showcase/)
WooCommerce,In-person + online simple,Small stores wanting WooPayments and basic POS,Micro (<$1M GMV) → SMB ($1M–$10M GMV),In-person (M2/WisePad 3/Tap to Pay) plus online,"Unified payments, WordPress CMS synergy","In-person per-transaction pricing not published centrally; device program constraints Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Boutiques, events, pop-ups",https://woocommerce.com/document/getting-started-with-in-person-payments-woopayments/,2025-10-22,Woo Showcase (https://woocommerce.com/showcase/)
BigCommerce,Catalog-heavy SMBs,SKU-rich catalogs needing robust variants/options,SMB ($1M–$10M GMV) → Mid‑market ($10M–$50M GMV),"Complex catalogs, multi-storefront, channels","Native multi-storefront, strong product/options, B2B Edition path","B2B Edition add-on for advanced B2B; processor-based payment rates Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Industrial, auto parts, home & garden",https://www.bigcommerce.com/products/b2b-edition/ | https://www.bigcommerce.com/product/multi-storefront/,2025-10-22,Mizuno USA (https://www.bigcommerce.com/case-study/mizuno-usa/)
BigCommerce,Performance-conscious SMBs,Merchants valuing checkout performance and stability,SMB ($1M–$10M GMV) → Mid‑market ($10M–$50M GMV),"Scaling traffic, promotions","SaaS stability, 0% platform transaction fee, negotiated processor rates","Some features rely on partner apps; design flexibility via Stencil/headless Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Lifestyle, electronics, sporting goods",https://www.bigcommerce.com/essentials/pricing/ | https://www.bigcommerce.com/case-study/,2025-10-22,White Stuff (https://www.bigcommerce.com/case-study/white-stuff/)
Squarespace,Creator-led sellers,Creators/solopreneurs monetizing content + simple stores,Micro (<$1M GMV) → Lower SMB ($1M–$5M GMV),"Digital products, memberships, services, simple catalogs",Best-in-class design/editor UX; integrated payments; content tools,"Business plan adds 2% online store fee; limited native B2B; advanced shipping on higher tiers Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Creative services, studios, niche DTC",https://www.squarespace.com/feature-index | https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,2025-10-22,Entrepreneur stories (https://www.squarespace.com/blog/from-a-founder); Squarespace POS (Selling in person) – https://support.squarespace.com/hc/en-us/articles/4402824792333-Selling-in-person-with-Squarespace-Point-of-Sale
Squarespace,Local services + bookings,Service SMBs adding ecomm for invoicing/products,Micro (<$1M GMV) → SMB ($1M–$10M GMV),"Appointments + product add-ons, invoices",Scheduling/invoicing native integrations; simple POS,"Complex inventory/B2B limited; scaling features fewer than Shopify/BC Time-sensitive: fees/features may vary by region and change over time; see access date. GMV size band ranges are heuristic approximations based on common SMB/mid‑market conventions, not official platform thresholds.","Studios, salons, consultants",https://www.squarespace.com/pricing | https://support.squarespace.com,2025-10-22,Entrepreneur stories (https://www.squarespace.com/blog/from-a-founder); Squarespace POS (Selling in person) – https://support.squarespace.com/hc/en-us/articles/4402824792333-Selling-in-person-with-Squarespace-Point-of-Sale
