platform,metric_name,value,unit,period_start,period_end,yoy_change_percent,source_url,source_date,notes
Shopify,Full-year revenue,8.9,USD billions,2024-01-01,2024-12-31,26%,https://www.shopify.com/news/shopify-merchant-success-powers-q4-outperformance-across-both-top-and-bottom-line,2025-10-22,Press release indicates full-year revenue up 26% YoY; free cash flow margin increased.
Shopify,Q4 revenue growth,31,percent,2024-10-01,2024-12-31,31%,https://www.shopify.com/news/shopify-merchant-success-powers-q4-outperformance-across-both-top-and-bottom-line,2025-10-22,Q4 revenue growth accelerates to 31% YoY per press release.
BigCommerce,Full-year revenue,0.3329,USD billions,2024-01-01,2024-12-31,8%,https://www.globenewswire.com/news-release/2025/02/20/3029457/0/en/BigCommerce-Announces-Fourth-Quarter-and-Fiscal-Year-2024-Financial-Results.html,2025-10-22,"Full-year total revenue of $332.9M, up 8% vs prior year."
BigCommerce,Q4 revenue,0.087,USD billions,2024-10-01,2024-12-31,3%,https://investors.bigcommerce.com/static-files/dc0d0468-a781-4ce3-9ab8-fb53e9cffd66,2025-10-22,"Q4 revenue $87M, +3% YoY per BigCommerce earnings materials (investor PDF)."
Wix,Q4 revenue,0.4605,USD billions,2024-10-01,2024-12-31,14%,https://www.wix.com/press-room/home/post/wix-reports-fourth-quarter-and-full-year-2024-results,2025-10-22,"Q4 revenue $460.5M, up 14% YoY; bookings $464.6M up 18%."
Squarespace,Annual run rate revenue (ARRR),1.1795,USD billions,2024-01-01,2024-12-31,20%,https://www.prnewswire.com/news-releases/squarespace-announces-second-quarter-2024-financial-results-302212968.html,2025-10-22,"ARRR grew 20% YoY to $1,179.5M in 2024 per Q2 release."
Squarespace,Full-year revenue milestone,1.0,USD billions,2024-01-01,2024-12-31,17%,https://www.squarespace.com/press-coverage/2024/2/28/squarespace-hits-1-billion-in-revenue-as-it-takes-on-payments-facilitator-mantle,2025-10-22,"Squarespace surpassed $1B revenue for the first time, marking 17% growth for the year (press coverage)."
WooCommerce,Live stores (global),4.493525,millions,2025-07-01,2025-10-01,-0.2% QoQ,https://storeleads.app/reports/woocommerce,2025-10-22,"StoreLeads global live stores snapshot; methodology reflects detected stores, not GMV."
Adobe Commerce (Magento),Positioning (B2B/B2C enterprise/mid-market),N/A,N/A,2024-01-01,2025-10-01,N/A,https://business.adobe.com/products/commerce.html,2025-10-22,"Adobe Commerce positions for global, multi-brand B2C/B2B; quantitative growth not directly cited in sourced materials."
Adobe Commerce (Magento),Live websites (BuiltWith snapshot),95464,websites,2025-10-22,2025-10-22,N/A,https://trends.builtwith.com/shop/Magento,2025-10-22,BuiltWith detected live websites snapshot; platform-level revenue/GMV not publicly reported.
Shopify,Q2 2024 GMV,67.2,USD billions,2024-04-01,2024-06-30,22%,https://shopifyinvestors.com/media-center/news-details/2024/Shopify-Announces-Second-Quarter-2024-Financial-Results/default.aspx,2025-10-22,GMV increased 22% YoY to $67.2B in Q2 2024.
BigCommerce,FY2025 revenue guidance,0.3421–0.3501,USD billions,2025-01-01,2025-12-31,N/A,https://investors.bigcommerce.com/static-files/dc0d0468-a781-4ce3-9ab8-fb53e9cffd66,2025-10-22,Guidance from earnings materials provides trend context.
Squarespace,ARRR (prior-year comparator),0.9833,USD billions,2023-01-01,2023-12-31,N/A,https://www.sec.gov/Archives/edgar/data/1496963/000149696324000029/sqsp-05072024x8kexhibit991.htm,2025-10-22,ARRR as of 2023 comparator to show trend versus 2024.
Wix,Q4 2024 bookings,0.4646,USD billions,2024-10-01,2024-12-31,18%,https://www.wix.com/press-room/home/post/wix-reports-fourth-quarter-and-full-year-2024-results,2025-10-22,Bookings up 18% YoY.
WooCommerce,US stores QoQ change (2025 Q3),9.1,percent,2025-07-01,2025-10-01,N/A,https://storeleads.app/reports/woocommerce/US/top-stores,2025-10-22,US stores increased 9.1% QoQ in 2025 Q3 per StoreLeads.
