
Company Name,Website,Annual Revenue Category,Company Stage,Research Source
Company Name,Website,Not Found,Not Found,
Zapier,https://zapier.com,$100M+,Series C+,Zapier generated $310 million in revenue in 2024https://taptwicedigital.com/stats/zapier#:~:text=Zapier%20Stats%20
Notion,https://notion.so,$100M+,Series C+,Notion generated $400 million in revenue in 2024https://taptwicedigital.com/stats/notion#:~:text=Key%20Notion%20Stats
Figma,https://figma.com,$100M+,Post-IPO,Figma had annual revenue of $749.01M in 2024https://stockanalysis.com/stocks/fig/revenue/#:~:text=Figma%20had%20revenue%20of%20%24249,growth
Stripe,https://stripe.com,$100M+,Series C+,Sacra estimates Stripe’s net revenue grew to $5.1B in 2024https://sacra.com/c/stripe/#:~:text=Revenue
Canva,https://canva.com,$100M+,Series C+,Canva generated $2.7 billion in revenue in 2024https://www.demandsage.com/canva-statistics/#:~:text=Canva%20Statistics%202025%20
Slack,https://slack.com,$100M+,Post-IPO,Slack made $1.7 billion revenue in 2023https://www.businessofapps.com/data/slack-statistics/#:~:text=Slack%20made%20%241,increase%20on%20the%20year%20prior
Discord,https://discord.com,$100M+,Series C+,Discord generated $575 million revenue in 2023https://www.businessofapps.com/data/discord-statistics/#:~:text=,value%20in%20under%20a%20year
Loom,https://loom.com,$20M–$100M,Series C+,Loom hit $50M in revenue in 2023https://getlatka.com/companies/loom#:~:text=
Webflow,https://webflow.com,$100M+,Series C+,Webflow generates $212.5M in revenuehttps://getlatka.com/companies/webflow.com/team#:~:text=%2A%20,does%20Webflow%20generate
Retool,https://retool.com,$100M+,Series C+,Retool generates $138.6M in revenuehttps://getlatka.com/companies/retool/team#:~:text=%2A%20,does%20Retool%20generate
Airtable,https://airtable.com,$100M+,Series C+,Airtable’s revenue reached $204.7M in 2024https://getlatka.com/companies/airtable#:~:text=In%202024%2C%20AirTable%E2%80%99s%20revenue%20reached,increasing%20adoption%20across%20various%20industries
Linear,https://linear.app,$5M–$20M,Series B,Linear App’s estimated annual revenue is $18.8Mhttps://growjo.com/company/Linear_App#:~:text=,%28June%202025
Vercel,https://vercel.com,Not Found,Not Found,
Supabase,https://supabase.com,Not Found,Not Found,
Auth0,https://auth0.com,Not Found,Not Found,
GitLab,https://gitlab.com,Not Found,Not Found,
Grammarly,https://grammarly.com,Not Found,Not Found,
Intercom,https://intercom.com,Not Found,Not Found,
Datadog,https://datadog.com,Not Found,Not Found,
Snyk,https://snyk.io,Not Found,Not Found,
Scribe,https://scribehow.com,Not Found,Not Found,
Ramp,https://ramp.com,Not Found,Not Found,
Mercury,https://mercury.com,Not Found,Not Found,
OpenAI,https://openai.com,Not Found,Not Found,
Anthropic,https://anthropic.com,Not Found,Not Found,
Hugging Face,https://huggingface.co,Not Found,Not Found,
Replicate,https://replicate.com,Not Found,Not Found,
Runway,https://runwayml.com,Not Found,Not Found,
Midjourney,https://midjourney.com,Not Found,Not Found,
Stability AI,https://stability.ai,Not Found,Not Found,
Perplexity AI,https://perplexity.ai,Not Found,Not Found,
Scale AI,https://scale.com,Not Found,Not Found,
Cohere,https://cohere.com,Not Found,Not Found,
Mistral AI,https://mistral.ai,Not Found,Not Found,
Jasper AI,https://jasper.ai,Not Found,Not Found,
Copy.ai,https://copy.ai,Not Found,Not Found,
Descript,https://descript.com,Not Found,Not Found,
Synthesia,https://synthesia.io,Not Found,Not Found,
Eleven Labs,https://elevenlabs.io,Not Found,Not Found,
Otter.ai,https://otter.ai,Not Found,Not Found,
Beautiful.ai,https://beautiful.ai,Not Found,Not Found,
Gamma,https://gamma.app,Not Found,Not Found,
Presentations.ai,https://presentations.ai,Not Found,Not Found,
Decktopus,https://decktopus.com,Not Found,Not Found,
Tome,https://tome.app,Not Found,Not Found,
Pitch,https://pitch.com,Not Found,Not Found,
Uizard,https://uizard.io,Not Found,Not Found,
Framer,https://framer.com,Not Found,Not Found,
Bubble,https://bubble.io,Not Found,Not Found,
FlutterFlow,https://flutterflow.io,Not Found,Not Found,
WeWeb,https://weweb.io,Not Found,Not Found,
Fillout,https://fillout.com,Not Found,Not Found,
Coda,https://coda.io,Not Found,Not Found,
Craft,https://www.craft.do,Not Found,Not Found,
Obsidian,https://obsidian.md,Not Found,Not Found,
Roam Research,https://roamresearch.com,Not Found,Not Found,
LogSeq,https://logseq.com,Not Found,Not Found,
Fathom,https://fathom.video,Not Found,Not Found,
Fireflies.ai,https://fireflies.ai,Not Found,Not Found,
Rewatch,https://rewatch.com,Not Found,Not Found,
Claap,https://claap.io,Not Found,Not Found,
Vimeo,https://vimeo.com,Not Found,Not Found,
Rumble,https://rumble.com,Not Found,Not Found,
Crowdcast,https://www.crowdcast.io,Not Found,Not Found,
StreamYard,https://streamyard.com,Not Found,Not Found,
Twitch,https://twitch.tv,Not Found,Not Found,
Skool,https://skool.com,Not Found,Not Found,
Circle,https://circle.so,Not Found,Not Found,
Mighty Networks,https://mightynetworks.com,Not Found,Not Found,
Orbit,https://orbit.love,Not Found,Not Found,
Bevy,https://bevy.com,Not Found,Not Found,
Lemonade,https://lemonade.com,Not Found,Not Found,
Ro,https://ro.co,Not Found,Not Found,
Capsule,https://joincapsule.com,Not Found,Not Found,
Forward,https://forward.com,Not Found,Not Found,
One Medical,https://onemedical.com,Not Found,Not Found,
Teladoc,https://teladoc.com,Not Found,Not Found,
Omada Health,https://omadahealth.com,Not Found,Not Found,
Ginger,https://ginger.com,Not Found,Not Found,
Talkspace,https://talkspace.com,Not Found,Not Found,
BetterHelp,https://betterhelp.com,Not Found,Not Found,
Mindstrong,https://mindstrong.com,Not Found,Not Found,
Spring Health,https://springhealth.com,Not Found,Not Found,
Modern Health,https://www.modernhealth.com,Not Found,Not Found,
Glooko,https://glooko.com,Not Found,Not Found,
Medtronic,https://medtronic.com,Not Found,Not Found,
Natus Medical,https://natus.com,Not Found,Not Found,
Hill-Rom,https://hillrom.com,Not Found,Not Found,
Stryker,https://stryker.com,Not Found,Not Found,
Zimmer Biomet,https://zimmerbiomet.com,Not Found,Not Found,
Intuitive Surgical,https://intuitivesurgical.com,Not Found,Not Found,
Conmed,https://conmed.com,Not Found,Not Found,
Masimo,https://masimo.com,Not Found,Not Found,
Philips Healthcare,https://philips.com/healthcare,Not Found,Not Found,
GE Healthcare,https://gehealthcare.com,Not Found,Not Found,
Siemens Healthineers,https://siemenshealthineers.com,Not Found,Not Found,
Planmeca,https://planmeca.com,Not Found,Not Found,
Danaher,https://danaher.com,Not Found,Not Found,
Dentsply Sirona,https://dentsplysirona.com,Not Found,Not Found,
Align Technology,https://aligntech.com,Not Found,Not Found,
