Company Name,Website,Annual Revenue Category,Company Stage,Research Source
Zapier,https://zapier.com,$100M+,Not Found,https://www.forbes.com/sites/alexkonrad/2021/03/08/zapier-bootstraps-to-5-billion-valuation/ — $140M recurring revenue (2021) (Forbes)
Notion,https://notion.so,Not Found,Series C+,"https://equitybee.com/companies/company?company=notion — Funding History: Series C, $275M (Oct 2021), $10B valuation (Equitybee); https://siliconangle.com/2021/10/08/productivity-startup-notion-valued-10b-latest-275m-funding-round/ — $275M round coverage (2021, SiliconANGLE)"
Figma,https://figma.com,$100M+,Post-IPO,https://news.crunchbase.com/public/saas-figma-first-day-ipo-trading-triples/ — 2024 revenue $749M; IPO context (Crunchbase News)
Stripe,https://stripe.com,$100M+,Series C+,https://www.reuters.com/breakingviews/stripes-50-bln-reset-is-relative-sign-health-2023-03-16/ — Reuters Breakingviews: valuation (~$50B) ≈ 3.5× prior-year gross revenue → implies ~$14B gross revenue (supports $100M+ category)
Canva,https://canva.com,$100M+,Not Found,"https://www.reuters.com/world/asia-pacific/australias-canva-begins-share-sale-42-billion-valuation-2025-08-20/ — Reports annualised revenue ~$3.3B (Reuters, 2025)"
Slack,https://slack.com,$100M+,Post-IPO,"https://slack.com/blog/news/slack-announces-confidential-submission-of-draft-registration-statement-for-proposed-public-listing — Listing path (2019); https://www.sec.gov/ixviewer/doc?action=display&source=content&source_url=/Archives/edgar/data/1764925/000176492521000010/work-20210131.htm — FY2021 Revenue ~$902M (Form 10-K, SEC)"
Discord,https://discord.com,Not Found,Not Found,Not Found
Loom,https://loom.com,Not Found,Series C+,https://www.atlassian.com/blog/loom/loom-series-c — Loom Raises a $130m Series C to Scale Video Messaging for Hybrid Work (Atlassian)
Webflow,https://webflow.com,$100M+,Series B,"https://webflow.com/blog/webflow-series-b-funding — Announcing $140M Series B funding (Webflow blog, 2021); https://research.contrary.com/company/webflow — ~$100M ARR (2022) (Contrary Research)"
Retool,https://retool.com,Not Found,Series C+,"https://retool.com/blog/series-c — Series C (Retool blog, 2021); https://retool.com/blog/series-c2 — Series C2 (Retool blog, 2022)"
Airtable,https://airtable.com,Not Found,Series C+,https://www.airtable.com/newsroom/series-f — Series F (2021); https://www.airtable.com/newsroom/series-e-funding-announcement — Series E (2021)
Linear,https://linear.app,Not Found,Not Found,Not Found
