platform,plan_name,monthly_fee_usd,online_processing_fee_percent,online_processing_fee_fixed,in_person_fee_percent,in_person_fee_fixed,third_party_gateway_fee_percent,additional_platform_transaction_fee_percent,regional_variations,card_type_differentials,hidden_costs_notes,source_url_monthly_fee,source_url_online_rate,source_url_inperson_rate,source_url_gateway_fee_policy,source_url_platform_fee,source_url_surcharges,source_date
Shopify,Basic,39,2.9%,$0.30,2.6%,$0.10,Not published by Shopify (varies by plan),0% when using Shopify Payments,US baseline; rates vary by region.,Domestic vs international vary; AmEx and ACH may vary regionally.,"If not using Shopify Payments, third‑party gateway transaction fees apply (rate varies by plan, not published). Currency conversion and cross‑border fees may apply; chargebacks not returned. Quote (Third-party gateway policy): ""Transaction fees vary depending on your Shopify plan; percentages are not published."" — Shopify Help: Third-party transaction fees.",https://www.shopify.com/pricing,https://help.shopify.com/en/manual/payments/shopify-payments/onboarding/cost-of-shopify-payments,https://help.shopify.com/en/manual/payments/shopify-payments/onboarding/cost-of-shopify-payments,https://help.shopify.com/en/manual/your-account/manage-billing/billing-charges/types-of-charges/third-party-charges/third-party-transaction-fees,https://help.shopify.com/en/manual/payments/shopify-payments,https://help.shopify.com/en/manual/international/pricing/fees,2025-10-22
Shopify,Shopify,105,2.6%,$0.30,2.5%,$0.10,Not published by Shopify (varies by plan),0% when using Shopify Payments,US baseline; rates vary by region.,Domestic vs international vary; AmEx and ACH may vary regionally.,"If not using Shopify Payments, third‑party gateway transaction fees apply (rate varies by plan, not published). Currency conversion and cross‑border fees may apply; chargebacks not returned. Quote (Third-party gateway policy): ""Transaction fees vary depending on your Shopify plan; percentages are not published."" — Shopify Help: Third-party transaction fees.",https://www.shopify.com/pricing,https://help.shopify.com/en/manual/payments/shopify-payments/onboarding/cost-of-shopify-payments,https://help.shopify.com/en/manual/payments/shopify-payments/onboarding/cost-of-shopify-payments,https://help.shopify.com/en/manual/your-account/manage-billing/billing-charges/types-of-charges/third-party-charges/third-party-transaction-fees,https://help.shopify.com/en/manual/payments/shopify-payments,https://help.shopify.com/en/manual/international/pricing/fees,2025-10-22
Shopify,Advanced,399,2.4%,$0.30,2.4%,$0.10,Not published by Shopify (varies by plan),0% when using Shopify Payments,US baseline; rates vary by region.,Domestic vs international vary; AmEx and ACH may vary regionally.,"If not using Shopify Payments, third‑party gateway transaction fees apply (rate varies by plan, not published). Currency conversion and cross‑border fees may apply; chargebacks not returned. Quote (Third-party gateway policy): ""Transaction fees vary depending on your Shopify plan; percentages are not published."" — Shopify Help: Third-party transaction fees.",https://www.shopify.com/pricing,https://help.shopify.com/en/manual/payments/shopify-payments/onboarding/cost-of-shopify-payments,https://help.shopify.com/en/manual/payments/shopify-payments/onboarding/cost-of-shopify-payments,https://help.shopify.com/en/manual/your-account/manage-billing/billing-charges/types-of-charges/third-party-charges/third-party-transaction-fees,https://help.shopify.com/en/manual/payments/shopify-payments,https://help.shopify.com/en/manual/international/pricing/fees,2025-10-22
BigCommerce,Standard,39,from 2.89%,$0.29,Varies by processor,Varies,N/A (processor fees apply),0% added payment fees,US baseline; processor offers custom/volume pricing.,Domestic vs international and card brand vary per processor.,"Chargebacks, cross‑border, FX conversion per processor; BigCommerce adds no platform transaction fees. Processing fees are set by PayPal/Braintree and do not differ by BigCommerce plan; starting rate shown as from 2.89% + $0.29 with volume/negotiated tiers.",https://www.bigcommerce.com/essentials/pricing/,https://www.bigcommerce.com/paypal-rates/,https://www.paypal.com/us/enterprise/paypal-braintree-fees,https://www.bigcommerce.com/essentials/pricing/,https://www.bigcommerce.com/essentials/pricing/,https://www.paypal.com/us/enterprise/paypal-braintree-fees,2025-10-22
BigCommerce,Plus,105,from 2.89%,$0.29,Varies by processor,Varies,N/A (processor fees apply),0% added payment fees,US baseline; processor offers custom/volume pricing.,Domestic vs international and card brand vary per processor.,"Chargebacks, cross‑border, FX conversion per processor; BigCommerce adds no platform transaction fees. Processing fees are set by PayPal/Braintree and do not differ by BigCommerce plan; starting rate shown as from 2.89% + $0.29 with volume/negotiated tiers.",https://www.bigcommerce.com/essentials/pricing/,https://www.bigcommerce.com/paypal-rates/,https://www.paypal.com/us/enterprise/paypal-braintree-fees,https://www.bigcommerce.com/essentials/pricing/,https://www.bigcommerce.com/essentials/pricing/,https://www.paypal.com/us/enterprise/paypal-braintree-fees,2025-10-22
BigCommerce,Pro,399,from 2.89%,$0.29,Varies by processor,Varies,N/A (processor fees apply),0% added payment fees,US baseline; processor offers custom/volume pricing.,Domestic vs international and card brand vary per processor.,"Chargebacks, cross‑border, FX conversion per processor; BigCommerce adds no platform transaction fees. Processing fees are set by PayPal/Braintree and do not differ by BigCommerce plan; starting rate shown as from 2.89% + $0.29 with volume/negotiated tiers.",https://www.bigcommerce.com/essentials/pricing/,https://www.bigcommerce.com/paypal-rates/,https://www.paypal.com/us/enterprise/paypal-braintree-fees,https://www.bigcommerce.com/essentials/pricing/,https://www.bigcommerce.com/essentials/pricing/,https://www.paypal.com/us/enterprise/paypal-braintree-fees,2025-10-22
Squarespace,Basic,16,2.9%,$0.30,Same as Squarespace Payments per plan,$0.30 (per Squarespace Payments),N/A (Squarespace Payments or gateways),2% online store; 7% digital content/memberships,US baseline; international +1.5% uplift; currency conversion +1% via Squarespace Payments.,Premium card 3.2% + $0.30; ACH 1–1.5% depending on tier.,"Transaction fee varies by plan (Business 2% online store; content/membership fees 7% → 5% → 1% → 0%). POS uses Squarespace Payments; in-person rates follow Squarespace Payments standard rates per plan. Per Squarespace support: in-person rates follow Squarespace Payments standard rates per plan (see Transaction fees and payment processing rates article). Quote (POS): ""Sell in person with Squarespace point of sale (POS); in-person rates follow Squarespace Payments per plan"" — from Squarespace support Transaction fees and payment processing rates.",https://www.squarespace.com/pricing,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://www.squarespace.com/pricing,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,2025-10-22
Squarespace,Core,23,2.9%,$0.30,Same as Squarespace Payments per plan,$0.30 (per Squarespace Payments),N/A,0% online store; 5% digital content/memberships,US baseline; international +1.5% uplift; currency conversion +1% via Squarespace Payments.,Premium card 3.2% + $0.30; ACH 1–1.5% depending on tier.,"Transaction fee varies by plan (Business 2% online store; content/membership fees 7% → 5% → 1% → 0%). POS uses Squarespace Payments; in-person rates follow Squarespace Payments standard rates per plan. Per Squarespace support: in-person rates follow Squarespace Payments standard rates per plan (see Transaction fees and payment processing rates article). Quote (POS): ""Sell in person with Squarespace point of sale (POS); in-person rates follow Squarespace Payments per plan"" — from Squarespace support Transaction fees and payment processing rates.",https://www.squarespace.com/pricing,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://www.squarespace.com/pricing,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,2025-10-22
Squarespace,Plus,39,2.7%,$0.30,Same as Squarespace Payments per plan,$0.30 (per Squarespace Payments),N/A,0% online store; 1% digital content/memberships,US baseline; international +1.5% uplift; currency conversion +1% via Squarespace Payments.,Premium card 3.2% + $0.30; ACH 1–1.5% depending on tier.,"Transaction fee varies by plan (Business 2% online store; content/membership fees 7% → 5% → 1% → 0%). POS uses Squarespace Payments; in-person rates follow Squarespace Payments standard rates per plan. Per Squarespace support: in-person rates follow Squarespace Payments standard rates per plan (see Transaction fees and payment processing rates article). Quote (POS): ""Sell in person with Squarespace point of sale (POS); in-person rates follow Squarespace Payments per plan"" — from Squarespace support Transaction fees and payment processing rates.",https://www.squarespace.com/pricing,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://www.squarespace.com/pricing,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,2025-10-22
Squarespace,Advanced,99,2.5%,$0.30,Same as Squarespace Payments per plan,$0.30 (per Squarespace Payments),N/A,0% online store; 0% digital content/memberships,US baseline; international +1.5% uplift; currency conversion +1% via Squarespace Payments.,Premium card 3.2% + $0.30; ACH 1–1.5% depending on tier.,"Transaction fee varies by plan (Business 2% online store; content/membership fees 7% → 5% → 1% → 0%). POS uses Squarespace Payments; in-person rates follow Squarespace Payments standard rates per plan. Per Squarespace support: in-person rates follow Squarespace Payments standard rates per plan (see Transaction fees and payment processing rates article). Quote (POS): ""Sell in person with Squarespace point of sale (POS); in-person rates follow Squarespace Payments per plan"" — from Squarespace support Transaction fees and payment processing rates.",https://www.squarespace.com/pricing,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,https://www.squarespace.com/pricing,https://support.squarespace.com/hc/en-us/articles/27853679334157-Transaction-fees-and-payment-processing-rates,2025-10-22
Wix,Core,29,2.9% (Visa/Mastercard); 3.7% (AmEx),$0.30,Varies by provider/gateway,Varies,N/A,0%,US baseline; cross‑border surcharge may apply; fees vary by method/card.,US: Visa/Mastercard 2.9% + $0.30; AmEx 3.7% + $0.30 (per Wix Payments service fees).,"Chargebacks and refunds may incur fees; Wix adds no platform transaction fee. Quote (US fees): ""Visa/Mastercard 2.9% + $0.30; American Express 3.7% + $0.30"" — from Wix Payments Service Fees.",https://www.wix.com/plans,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,2025-10-22
Wix,Business,39,2.9% (Visa/Mastercard); 3.7% (AmEx),$0.30,Varies by provider/gateway,Varies,N/A,0%,US baseline; cross‑border surcharge may apply; fees vary by method/card.,US: Visa/Mastercard 2.9% + $0.30; AmEx 3.7% + $0.30 (per Wix Payments service fees).,"Chargebacks and refunds may incur fees; Wix adds no platform transaction fee. Quote (US fees): ""Visa/Mastercard 2.9% + $0.30; American Express 3.7% + $0.30"" — from Wix Payments Service Fees.",https://www.wix.com/plans,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,2025-10-22
Wix,Business Elite,159,2.9% (Visa/Mastercard); 3.7% (AmEx),$0.30,Varies by provider/gateway,Varies,N/A,0%,US baseline; cross‑border surcharge may apply; fees vary by method/card.,US: Visa/Mastercard 2.9% + $0.30; AmEx 3.7% + $0.30 (per Wix Payments service fees).,"Chargebacks and refunds may incur fees; Wix adds no platform transaction fee. Quote (US fees): ""Visa/Mastercard 2.9% + $0.30; American Express 3.7% + $0.30"" — from Wix Payments Service Fees.",https://www.wix.com/plans,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,https://support.wix.com/en/article/wix-payments-service-fees,2025-10-22
