Platform,Email Campaign Building,Marketing Automation,CRM Integration,Analytics & Reporting,E-commerce Integration,A/B Testing,Pricing Tier
Mailchimp,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Constant Contact,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Entry Level (<$30/month)
Brevo,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Campaign Monitor,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Entry Level (<$30/month)
GetResponse,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
ActiveCampaign,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Entry Level (<$30/month)
ConvertKit (Kit),Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Klaviyo,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
MailerLite,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Substack,Yes,No,No,Yes,Yes,Yes,Free Plan Available
HubSpot,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Marketo (Adobe Marketo Engage),Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
Salesforce Account Engagement (Pardot),Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
Iterable,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
Sailthru (Marigold),Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
SAP Emarsys,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
Cordial,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
Epsilon PeopleCloud Messaging,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
Oracle Eloqua,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
Zoho Campaigns,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Freshworks (Freshmarketer),Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
AWeber,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Mad Mimi,Yes,No,Yes,Yes,No,No,Freemium (Free + Paid)
iContact,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Moosend,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Entry Level (<$30/month)
Keap (Infusionsoft),Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Enterprise (>$100/month)
Ontraport,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Mid-Range ($30-100/month)
Sender,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Mautic,Yes,Yes,Yes,Yes,Yes,Yes,Free Plan Available
Mailgun,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Twilio SendGrid,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Amazon SES,Yes,Yes,Yes,Yes,Yes,No,Freemium (Free + Paid)
Postmark,Yes,No,Yes,Yes,Yes,Yes,Paid Only - Entry Level (<$30/month)
Mailchimp Transactional (Mandrill),No,No,Yes,Yes,No,No,Paid Only - Entry Level (<$30/month)
SparkPost,Yes,No,No,Yes,No,Yes,Freemium (Free + Paid)
SendPulse,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Benchmark Email,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Flexmail,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Entry Level (<$30/month)
Pinpointe,Yes,Yes,Yes,Yes,No,Yes,Paid Only - Mid-Range ($30-100/month)
Agile CRM,Yes,Yes,Yes,Yes,Yes,Yes,Freemium (Free + Paid)
Nimble,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Entry Level (<$30/month)
Intercom,Yes,Yes,Yes,Yes,Yes,Yes,Paid Only - Entry Level (<$30/month)
