
Company,Website,Key products/services,Funding/Revenue,Regions,Countries (if <5),AI training interest,Decision maker LinkedIn
Ziply,https://goziply.com,On-demand same-day delivery service for packages and goods,Funding undisclosed (according to Exploding Topics),United States (primarily Los Angeles/Beverly Hills),USA,No explicit AI training mention,https://www.linkedin.com/in/barrydadon
GoShare,https://goshare.co,On-demand truck and cargo delivery service connecting drivers with people and businesses needing moving or delivery,$8M seed funding (Exploding Topics),United States,USA,No explicit AI training mention,https://www.linkedin.com/in/sean-wright-20889669
Snappy Shopper,https://www.snappyshopper.co.uk,On-demand grocery delivery platform partnering with local retailers,$23.6M funding (Exploding Topics),United Kingdom,UK,No explicit AI training mention,https://www.linkedin.com/in/mikecallachan
Mylerz,https://www.mylerz.com,Integrated logistics platform offering e-commerce delivery and fulfillment services using natural gas-powered vehicles,$9.6M seed funding (Exploding Topics),Africa (Egypt),Egypt,No explicit AI training mention,https://www.linkedin.com/in/samuel-saad-saad
Lalamove,https://www.lalamove.com,On-demand delivery and logistics platform offering same-day delivery services,$2.5B Series F funding (Exploding Topics),Asia (11 markets),"Multiple (Hong Kong, Singapore, etc.)",No explicit AI training mention,https://www.linkedin.com/in/chau-lam-2b5b8b30
Fantuan,https://fantuan.ca,Food and grocery delivery platform specializing in Asian cuisine across Western countries,$90M Series C funding (Exploding Topics),"Canada, United States, Australia, United Kingdom","Canada, USA, Australia, UK",No explicit AI training mention,https://www.linkedin.com/in/muyuanwiao/
Zoomo,https://www.ridezoomo.com,Provides e-bikes and fleet management services for delivery couriers and businesses,$135.6M Series B funding (Exploding Topics),"Australia, North America, Europe","Australia, United States, UK",No explicit AI training mention,https://www.linkedin.com/in/michael-johnson-29908239
Zepto,https://www.zeptonow.com,Rapid grocery delivery app delivering groceries in 10 minutes using dark stores,$1.3B Series F funding (Exploding Topics),India,India,No explicit AI training mention,https://www.linkedin.com/in/aaditpalicha
Snoonu,https://snoonu.com,"Food delivery and personal concierge app offering food, grocery, pharmacy delivery in under 30 minutes",$17M Series B funding (Exploding Topics),Qatar,Qatar,No explicit AI training mention,https://www.linkedin.com/in/hamad-al-humaid
Darkstore,https://www.darkstore.com,E-commerce fulfillment and delivery platform providing same-day and next-day delivery via microfulfillment centers,Private company (funding not widely disclosed),United States,USA,No explicit AI training mention,https://www.linkedin.com/in/lee-hwang-9a92b0b2
