Company Name,Website,Key Products/Services,Funding/Revenue,Regions They Operate In,Countries (<=5),Mentions of AI Training / AI Agents,Decision Maker LinkedIn Profiles
Alto Pharmacy,https://www.alto.com,"Alto Pharmacy is a digital pharmacy specializing in the delivery of prescription medications and related pharmacy services, leveraging proprietary technology and a patient centric model to simplify and optimize the pharm",Series E $200M (2021),"Americas, USA only",United States,"Alto Pharmacy has publicly stated that it uses AI agents and automation in its technology platform to ""drive efficiencies and improve the patient experience."" Specifically, a 2024 press release for the Alto Technologies",https://www.linkedin.com/in/jamiekarraker/
Amazon Fresh,https://www.amazon.com/fresh,"Amazon Fresh offers a comprehensive online and physical grocery shopping service centered on fast delivery, technology driven convenience, and broad assortment. Its core products and services include: Online Grocery Deli",Part of Amazon; grocery revenue not broken out separately.,Americas / EMEA / APAC,"United States, United Kingdom, Germany, Italy, Japan","Amazon Fresh has publicly discussed leveraging AI, specifically machine learning , to enhance both its online and physical grocery shopping experiences, with mentions from Amazon leadership and its science teams regardin","https://www.linkedin.com/in/jasonbuechel/
https://www.linkedin.com/in/karenchristensen-wfm/"
Baedal Minjok (BAEMIN),https://www.baemin.com,"Baedal Minjok (Baemin) is South Korea’s largest food delivery platform, offering a wide array of services including food delivery, quick commerce (q commerce), grocery delivery, last mile logistics, and operating dark st",Not disclosed,APAC,South Korea,"Woowa Brothers’ BADA team publicly launched “QueryAnswerBird,” an LLM-based agentic system to improve internal data literacy — direct evidence of AI agent use.",https://www.linkedin.com/in/frodokr/?originalSubdomain=kr
BigBasket,https://www.bigbasket.com,"BigBasket, India’s largest online supermarket owned by Tata Digital, specializes in grocery delivery , quick commerce (q commerce) , last mile logistics , and increasingly offers food delivery and multi category services","Series F, FY 2025 Revenue ≈ ₹9,867 crore (~$1.18 B USD); private subsidiary of Tata Digital.",India,India,"Uses AI/ML for demand forecasting, inventory optimization, and customer personalization; no explicit public AI-agent training statement.",https://www.linkedin.com/in/harimenon-bigbasket/?originalSubdomain=in
Blinkit,https://www.blinkit.com,"Blinkit is a leading quick commerce (q commerce) platform in India that specializes in ultra fast delivery of groceries, daily essentials, and a wide range of consumer products using a dense network of dark stores and hy","Blinkit's latest annual revenue is ₹2,301 crore for FY24 and quarterly revenue for Q4 FY25 is ₹1,709 crore, both reported in Indian Rupees; its enterprise valuation reached US $13 billion in 2025 according to Goldman Sac",APAC,India,Active AI/ML hiring and use of AI for operations and customer experience; no explicit public “AI agent training” statement.,https://www.linkedin.com/in/sajal-gupta-4b966742/?originalSubdomain=in
Bolt Food,https://www.bolt.eu/en/food,Bolt Food is a comprehensive food and grocery delivery platform launched by Estonian mobility company Bolt in 2019. The platform operates as a multi service delivery ecosystem with several core offerings: Food Delivery B,Part of Bolt Group (funded > $2 B total across divisions).,"EMEA, APAC, and LATAM","Estonia, Poland, Portugal, Romania, Kenya","Employs ML for pricing, logistics routing, and courier efficiency; no public “AI agent training” reference yet.",https://www.linkedin.com/in/markusvillig/?originalSubdomain=ee
Capsule,https://www.capsule.com,"Capsule Key Products/Services Capsule is a pharmacy service that focuses on delivering medications directly to customers' homes or offices, eliminating the need to visit a physical pharmacy. Here's a detailed overview of","Series D, $300M (2021)","Americas, EMEA, APAC, Latin America, and the Middle East",United States,"Capsule has publicly announced that it is developing and deploying AI agents , specifically an ""AI co producer,"" within its video editing platform to enhance efficiency, provide editing suggestions, and assist teams with",https://www.linkedin.com/in/ekinariwala/
Careem Food,https://www.careem.com/,Food delivery and grocery (Careem Quik) within the Careem super-app; last-mile courier services; merchant tools,US$400M investment (Dec 2023) into the spun-out Careem Everything App by e& (majority stake 50.03%); brand-level revenue not disclosed.,"EMEA (GCC, Levant, North Africa); South Asia",United Arab Emirates; Saudi Arabia; Jordan; Egypt; Morocco,"Careem publicly details production AI across its food/grocery experiences—e.g., AI-driven ETA models that factor in prayer times and weather for delivery accuracy, and consumer-facing AI assistants for food discovery/grocery list building—evidence of ongoing model training and deployment in delivery operations.",https://www.linkedin.com/in/mudassirsheikha/
Caviar,https://www.trycaviar.com,"Caviar’s core product is an on demand food delivery platform that focuses on delivering meals from premium, often exclusive, local restaurants to customers’ homes or workplaces. Caviar differentiates itself with a curate","Series A,  $13000000 (2014). Acquired by DoorDash for ~$410M (2019); part of DoorDash, Inc.","Americas, EMEA, APAC, LATAM, and the Middle East.",United States,"There are no verified public mentions of Caviar training or using AI agents in press, blogs, or job postings based on available search results. The only relevant result referencing ""Caviar"" and AI agents is from ""Freight",https://www.linkedin.com/in/andyczhang
ChowNow,https://www.chownow.com,"ChowNow's key product is a commission free, SaaS based online ordering platform for local restaurants, enabling food delivery, pickup, and digital storefronts without operating its own delivery drivers or dark stores . C",Private; raised ~US$80M to date; acquired POS platform Cuboh (Mar 2024).,Americas,"United States, Canada","ChowNow has publicly mentioned its use of AI agents via multiple press releases and blog articles. In partnership with SoundHound, ChowNow enables restaurants on its platform to handle inbound customer queries using an A",https://www.linkedin.com/in/cwebb227/
Cornershop by Uber,https://www.cornershopapp.com,"Cornershop by Uber primarily offers on demand grocery delivery services, operating as a last mile delivery platform that connects users with personal shoppers who handpick and deliver products from local supermarkets and",Part of Uber Technologies (NYSE: UBER); brand integrated into Uber’s grocery offering.,Americas,"Chile, Mexico, Brazil, Colombia, Canada",Uber Eats announced an AI-powered assistant for discovery and ordering.,https://www.linkedin.com/in/oskarhjertonsson/
Deliveroo,https://www.deliveroo.co.uk,"Key Products and Services of Deliveroo Deliveroo is a leading food delivery and quick commerce platform that offers a wide range of services, including food delivery, grocery delivery, and last mile logistics. Here's a d",Public (LSE: ROO); acquired by DoorDash completed Oct 2025; first full-year profit in 2024.,"EMEA, APAC","United Kingdom, Ireland, France, Italy, United Arab Emirates","Engineering blog details ML platform and AI use for dispatch, recommendations, and ops.",https://www.linkedin.com/in/danwinn/
Delivery Hero,https://www.deliveryhero.com,"Delivery Hero is a global leader in online food delivery , quick commerce (q commerce) , and last mile logistics , offering a wide array of digital ordering, delivery, and fulfillment services that span prepared meals, g","Public (Frankfurt: DHER); 2024 revenue disclosed in annual reports; Benjamin Mann appointed CTO (Jul 3, 2024).","Americas, EMEA, APAC, Latin America, and the Middle East. ","Germany, Spain, Singapore, Saudi Arabia, Chile",Company showcases AI/ML for logistics and catalog/knowledge-base using agentic AI; AWS case studies describe AI-driven deliveries.,https://www.linkedin.com/in/oestberg/
Delivery.com,https://www.delivery.com,"Online marketplace for local restaurants, alcohol, groceries, and laundry; on-demand delivery via web & mobile apps in the U.S.",Private; revenue not publicly disclosed.,Americas,United States,"Delivery.com has publicly announced that it is training and using AI agents in its operations, offering both human and AI driven solutions for ordering and dispatching.",https://www.linkedin.com/in/laurence-levine-43503940/
Demae-can,https://www.demae-can.com,Japan’s leading food delivery marketplace expanding into quick commerce / last-mile of daily essentials,Public company; revenue not listed (TSE: 2484),APAC,Japan,"Although public mentions of ""AI agents"" or ""AI training"" specifically by Demae-can are not readily available, search results show that Demae-can has made technology-focused strategic moves that leverage artificial intelligence capabilities. The company's technology initiatives and partnership with LINE demonstrate a focus on enhancing user experience and optimizing operations, common applications for AI in the food delivery industry. ",https://www.linkedin.com/in/youngjaekim/
DiDi Food,https://www.didi-food.com/en-US,"Food delivery marketplace operated by DiDi Global; connects customers, restaurants, and couriers.",Brand-level revenue not disclosed; parent DiDi Global reported RMB 53.3 billion revenue in Q1 2025 (company-wide).,Americas (LATAM),Mexico; Costa Rica; Colombia; Peru,"DiDi states it utilises AI to deliver efficient, safer, and smarter food delivery; engineering/careers materials explicitly mention industry-leading AI in DiDi Food.",https://www.linkedin.com/in/daniel-serra-wright/
DoorDash,https://www.doordash.com,"Local commerce & on-demand delivery: restaurants, groceries, convenience; logistics/fulfillment (incl. Wolt/Deliveroo affiliates)",$3.3B revenue in Q2 2025 (company IR),"North America, Europe, Middle East, APAC","United States, Canada, Australia, New Zealand, Japan","Built a generative-AI self-service contact center using Amazon Bedrock, Amazon Connect, and Anthropic Claude.",https://www.linkedin.com/in/fangsterr
Fantuan,https://www.fantuan.ca/,Asian-focused food delivery and groceries; operates in 60+ cities; on-demand courier network,"US$40M Series C (Dec 2023); expansion confirmed via acquisition of Chowbus delivery business (Jan 24, 2024).",Americas; EMEA; APAC,Canada; United States; United Kingdom; Australia,"No official, recent statement that Fantuan is training AI agents (mark as not found). Operations & funding validated via PR/TechCrunch/newswire.",https://www.linkedin.com/in/randy-wu-80214b133/?originalSubdomain=ca
Flink,https://www.goflink.com,"Flink is a Berlin based quick commerce company specializing in ultra fast grocery delivery —usually within 10 15 minutes—by leveraging a network of dark stores (micro warehouses), proprietary logistics technology, and a","$150M (Sept 2024: ~$115M equity + $35M debt), valuation just under ~$1B; focus on DE & NL.",EMEA,Germany; Netherlands,"Recent Flink mentions related to AI training and AI agents largely center around the new Apache Flink Agents project, which enables the building of event-driven, real-time AI applications directly on Flink's streaming runtime.",https://de.linkedin.com/in/oliver-merkel-39283780
foodpanda,https://www.foodpanda.com,"Key Products and Services of Foodpanda Foodpanda is a leading online food and grocery delivery platform in Asia, offering a wide range of services that cater to the evolving needs of consumers. Here are the key products",Subsidiary of Delivery Hero SE (ETR: DHER); revenue consolidated under Delivery Hero,APAC,Singapore; Malaysia; Philippines; Hong Kong; Pakistan,"Foodpanda and its parent company, Delivery Hero, are actively developing and deploying AI agents and machine learning models for various operational and product functions. Their focus is on creating autonomous AI systems that learn from data and use tools to perform complex, real-world actions. ",https://www.linkedin.com/in/sebasr/
Getir,https://www.getir.com,"Getir’s key products and services center on ultra fast, app based delivery primarily in the quick commerce (q commerce) sector, utilizing a unique model based on dark stores, dedicated fleets, and a broad catalog of dail",Restructuring with $250M financing from Mubadala (2024); focus on Turkey,EMEA,Turkey,"Getir uses artificial intelligence (AI) and machine learning extensively to enhance its services, with key applications in customer service, personalized recommendations, and logistics. ",https://www.linkedin.com/in/kaanemec
Glovo,https://www.glovoapp.com,"Key Products and Services of Glovo Glovo is a Spanish on demand delivery platform that offers a wide range of products and services, making it a versatile option for consumers. Here are the key products and services prov",Subsidiary of Delivery Hero SE; revenue consolidated under Delivery Hero,"EMEA, APAC",Spain; Italy; Portugal; Romania; Georgia,"Glovo’s engineering blog documents ML-powered features such as a machine translation system with adaptive models and event-driven infrastructure (Kafka), plus regular posts on ML systems and data platforms (e.g., Airflow for ML pipelines).",https://www.linkedin.com/in/shiro-theuri-b27a7150/
