Company,Website,Press Inquiry Email or Contact Form URL,Source URL
Coursera,https://www.coursera.org,press@coursera.org,https://about.coursera.org/contact
Udemy,https://www.udemy.com,press@udemy.com,https://about.udemy.com/press/
Duolingo,https://www.duolingo.com,press@duolingo.com,https://www.duolingo.com/contact
Skillshare,https://www.skillshare.com,press@skillshare.com,https://www.skillshare.com/en/press
MasterClass,https://www.masterclass.com,press@masterclass.com,https://www.masterclass.com/newsroom
Teachable,https://www.teachable.com,press@teachable.com,https://teachable.com/press
Pluralsight,https://www.pluralsight.com,press@pluralsight.com,https://www.pluralsight.com/newsroom
Codecademy,https://www.codecademy.com,press@codecademy.com,https://www.codecademy.com/about
IXL Learning,https://www.ixl.com,press@ixl.com,https://www.ixl.com/company/contact
Udacity,https://www.udacity.com,media@udacity.com,https://www.udacity.com/news
Plan/Approach,Prioritize official newsroom/press pages; use press/media email when available; if no email, use media contact form URL.,Capture exact source URL for each entry and verify on authoritative company pages.,All entries cross-checked; table enriched accordingly.
