sector,entity_type,company_name,website,email,phone,tariff_link,notes
Electricity,Regulator,Energy and Petroleum Regulatory Authority (EPRA),https://www.epra.go.ke/,info@epra.go.ke,+254709336000; +254202847000,https://www.epra.go.ke/electricity-tariff-overview,Approves and regulates electricity tariffs; provides tariff calculator and regulatory instruments.
Electricity,Tariff tables (EPRA),EPRA Energy & Petroleum Statistics Report (Retail tariff tables),https://www.epra.go.ke/sites/default/files/2025-02/EPRA%20Statistics%20Report%20-%20January%20-%20December%202023.pdf,,,https://www.epra.go.ke/sites/default/files/2025-02/EPRA%20Statistics%20Report%20-%20January%20-%20December%202023.pdf,Contains approved retail electricity tariff tables and methodology; base tariff approved March 2023 for 2022/23–2025/26.
Electricity,Utility,Kenya Power and Lighting Company (KPLC),https://kplc.co.ke/,customercare@kplc.co.ke,+254703070707; 97771,https://kplc.co.ke/faq/tariff,National electricity distributor/retailer; tariff info and customer support.
Electricity,Tariff document,KPLC - Electricity Bill Components (PDF),https://www.kplc.co.ke/storage/01J1ATVMZTY698754FJ9RHKH8H.pdf,,,https://www.kplc.co.ke/storage/01J1ATVMZTY698754FJ9RHKH8H.pdf,Explains tariff components charged on electricity bills.
Electricity,Manufacturer,Conlog,https://conlog.com/,info@conlog.com,+27312681111,,Global smart metering manufacturer; contact to confirm Kenya distributor/reseller.
Electricity,Manufacturer,Inhemeter (Kenya supply claim),https://www.inhemeter.com/en/CaseInfo.aspx?id=1247,,+8675526616686,,Claims >3 million smart meters supplied to Kenya (as of 2018); use global contact to request Kenya representative.
Electricity,Solution Provider/Reseller,M-Paya Energy,https://m-payaenergy.co.ke/,sales@m-payaenergy.co.ke,+254709058012; +254709058011,,Smart prepaid metering for electricity and water; installation and management.
Electricity,Reseller/Integrator,Bluelinx Limited,https://bluelinx.co.ke/,info@bluelinx.co.ke,+254722929237; +254737059241,,Offers STS keypad prepaid electricity meters and related systems.
Electricity,Manufacturer/Partner Network,Itron (partners serving Kenya),https://partner.itron.com/english/directory/search?f0=Countries+Served&f0v0=Kenya,,+18006355461,,Use partner directory to identify local partners serving Kenya; global contact available from Itron.
Electricity,Manufacturer,Landis+Gyr (regional contact),https://www.landisgyr.com/contact/,,,,Contact via web form to identify Kenya/EA distributor; provides smart metering solutions globally.
Water,Regulator,Water Services Regulatory Board (WASREB),https://wasreb.go.ke/,info@wasreb.go.ke,+254709482000; +254202733561,https://wasreb.go.ke/tariffs/,Evaluates and approves water and sewerage tariffs; publishes gazetted tariffs and tariff guidelines.
Water,Regulator resource,WASREB Gazetted Tariff links,https://wasreb.go.ke/gazetted-tariff/,,,https://wasreb.go.ke/gazetted-tariff/,Portal listing official gazette notices and tariff documents for WSPs.
Water,Regulator resource,WASREB Tariff Guidelines (Feb 2024),https://wasreb.go.ke/wp-content/uploads/2024/04/Tariff-Guidelines-2024.pdf,,,https://wasreb.go.ke/wp-content/uploads/2024/04/Tariff-Guidelines-2024.pdf,Guidance for WSPs on tariff development and structure.
Water,Utility (WSP),Nairobi City Water & Sewerage Company (NCWSC),https://www.nairobiwater.co.ke/,info@nairobiwater.co.ke,+254703080000,https://wasreb.go.ke/nairobi/,WSP for Nairobi; direct WASREB page with gazetted tariff details.
Water,Utility (WSP),Mombasa Water Supply & Sanitation Co. (MOWASSCO),https://mombasawater.co.ke/,info@mombasawater.co.ke,+254714906091,https://mombasawater.co.ke/sites/default/files/2023-11/gazett-notice-Mombasa-Water_0.pdf,Approved water/sewer tariffs; downloads page hosts official tariff documents.
Water,Utility (WSP),Kisumu Water & Sanitation Co. (KIWASCO),https://kiwasco.co.ke/,info@kiwasco.co.ke,+254575007000,https://kiwasco.co.ke/wp-content/uploads/KIWASCO-Tariff-Vol.CXXVI-No_.145_-Notice-12035.pdf,Approved regular tariff for 2024/2025 (Water & Sewerage); downloads page lists tariff documents.
Water,Utility (WSP),Nakuru Water & Sanitation Services Co. (NAWASSCO),https://nakuruwater.co.ke/,custcare@nakuruwater.co.ke; info@nakuruwater.co.ke,+254512212269,https://nakuruwater.co.ke/water-tariff/,Water tariff page; tariffs approved via WASREB and gazette notices.
Water,Utility (WSP),Eldoret Water & Sanitation Co. (ELDOWAS),https://eldowas.or.ke/,info@eldowas.or.ke,+254724255538; +254532035000,https://eldowas.or.ke/wp-content/uploads/2023/08/ELDOWAS-Tarrif-9727-2023-Gazette-3.pdf,Approved Schedule of Tariffs 2023/2024 (gazette notice); Toll-free: 0800 211 155.
Water,Metering supplier/Distributor,Davis & Shirtliff (Dayliff),https://shop.davisandshirtliff.com/pages/contact-us,contactcenter@dayliff.com,+254711079000; +254730079000,https://swm.dayliff.com/,Regional distributor offering Dayliff water meters and prepaid/smart water metering solutions in Kenya.
