platform,feature_category,feature_name,availability,included_plan,limitations,notes,source_url,source_date
Shopify,Storefront,"Online Store (Themes, Liquid, Checkout)",Native,All,Advanced customization may require Liquid/dev skills,Core storefront with themes and extensibility,https://help.shopify.com/en/manual/online-store,2025-10-22
Shopify,Payments,Shopify Payments,Native,All (where available),Regional availability; third-party gateway fees if not using Shopify Payments,"Includes Shop Pay, BNPL, multi-currency",https://help.shopify.com/en/manual/payments/shopify-payments,2025-10-22
Shopify,POS,Shopify POS,Native,All (add app + hardware as needed),Requires POS app and compatible hardware; in-person fees apply,Unified online/offline selling with inventory sync,https://help.shopify.com/en/manual/sell-in-person,2025-10-22
Shopify,Shipping,Shipping & Fulfillment,Native,All,Carrier rates vary; some advanced needs via apps,"Labels, discounted rates, carrier integrations",https://help.shopify.com/en/manual/shipping,2025-10-22
Shopify,Apps,Shopify App Store,Extension/App,All,App quality/costs vary,Large ecosystem of extensions,https://apps.shopify.com,2025-10-22
Shopify,SEO,SEO tools,Native,All,Advanced SEO often via apps,Basic SEO built-in,https://help.shopify.com/en/manual/online-store/standards/seo,2025-10-22
Shopify,Analytics,Reports & Analytics,Native,"Basic (limited), Shopify & Advanced (advanced reports)",Basic vs advanced report access differs by plan,"Sales, customer, finance reports",https://help.shopify.com/en/manual/reports-and-analytics/shopify-reports/report-types,2025-10-22
Shopify,B2B,B2B on Shopify,Native,Advanced and Plus,"Requires setup of company profiles, price lists, B2B functions","Wholesale workflows (price lists, company accounts, payment terms)",https://help.shopify.com/en/manual/b2b,2025-10-22
Shopify,Multi‑currency,Multi‑currency (Shopify Payments),Native,All with Shopify Payments,Conversion fees may apply,Localized checkout and price rounding,https://help.shopify.com/en/manual/markets/pricing/local-currencies,2025-10-22
Shopify,Headless APIs,Storefront API / Hydrogen,Native,All (dev required),Requires developer implementation,Headless storefronts with GraphQL Storefront API / Hydrogen,https://shopify.dev/docs/api/storefront,2025-10-22
Shopify,Omnichannel/Social,"Sales channels (Shop, Facebook/Instagram, etc.)",Native,All,Channel availability varies by region,Sell across marketplaces and social channels,https://help.shopify.com/en/manual/online-sales-channels,2025-10-22
Shopify,Tax automation,Shopify Tax,Native,All (features vary by region/plan),Complex scenarios may need tax apps,Automated tax calculations and reporting,https://help.shopify.com/en/manual/taxes,2025-10-22
Shopify,Inventory/OMS,"Inventory, Locations, Transfers",Native,All,Advanced OMS needs via apps/third-parties,Multi-location inventory and basic OMS,https://help.shopify.com/en/manual/inventory,2025-10-22
Shopify,Internationalization,Shopify Markets (languages/markets),Native,All,Some features may require upgrades,"Cross-border, languages, duties/taxes via Markets",https://help.shopify.com/en/manual/markets,2025-10-22
Shopify,Multi‑storefront,Multiple stores / organizations,Native,All/Plus,Native multi-store management limited; use Plus/org or third-party,Manage multiple stores via Plus org/admin or third-party tools,https://help.shopify.com/en/partners/creating-products-and-services/plus/organization-admin,2025-10-22
WooCommerce,Storefront,Themes & Blocks (WordPress),Native,All,Theme quality varies,Block-based editor,https://woocommerce.com/woocommerce-features/,2025-10-22
WooCommerce,Payments,WooPayments,Native,All (where available),Regional availability,Stripe-backed; multi-currency options,https://woocommerce.com/payments/,2025-10-22
WooCommerce,POS,"In‑Person Payments (M2, WisePad 3, Tap to Pay)",Extension/App,All,Hardware/program availability; fees vary,Official in-person programs,https://woocommerce.com/document/getting-started-with-in-person-payments-woopayments/,2025-10-22
WooCommerce,Shipping,Shipping & Tax,Extension/App,All,Requires plugins for advanced automation,Automations via official/community plugins,https://woocommerce.com/woocommerce-features/,2025-10-22
WooCommerce,Apps,Extensions Marketplace,Extension/App,All,Maintenance/licensing costs,Large catalog of extensions,https://woocommerce.com/products/,2025-10-22
WooCommerce,SEO,SEO via WordPress,Native,All,Advanced via plugins,"WP SEO ecosystem (Yoast, RankMath, etc.)",https://woocommerce.com/posts/woocommerce-seo-guide/,2025-10-22
WooCommerce,Analytics,WooCommerce Analytics,Native,All,Enhancements via plugins,Dashboards and reports,https://woocommerce.com/document/woocommerce-analytics/,2025-10-22
