
post_title,post_url,post_id,comment_id,parent_id,author_name,date,comment_text
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1532249,0,Priya Sharma,2020-11-24T04:43:44,"Hello Avinash, Thank you for your descriptive guide. I have come across your blog and realized that I need to measure social media success as well and how much it is important."
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1445664,0,Jacobs Rinswer,2020-04-28T21:05:11,"Despite being crucial to success, many brands still fail to leverage social media analysis by using only native tools and analyzing each channel individually, A.K.A, the bare minimum. This is a huge loss of key data points and other social media insights that brands could discover with the help of analytics."
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1380093,1379742,Avinash Kaushik,2019-11-15T23:10:54,"Gabriela: Since computation of Amplification rate is pretty from public data, my recommendation is to look at the accounts of your industry's leaders (who do social well) and use their number as a benchmark. Obviously, you can also index against your past performance and create a goal for yourself.

Avinash."
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1379742,0,Gabriela,2019-11-14T16:50:11,Which is the best amplification rate?
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1196883,0,Brand Design DK,2017-12-20T00:43:25,"Great post Avinash, really helpful for a newbie as me. I have shared your article in my Danish network. Thanks for making things clear and thanks for sharing."
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1190981,0,Usman,2017-11-21T08:12:52,This is Powerful Stuf! Timeless classic that will always be relevant in executing a robust digital marketing strategy. Every SEO specialist and digital marketer can get so much out of this one post alone. I have printed copies of this hanging on my wall and come back to it from time to time! Love the cute toddler to Adult ninja analogy as well! Using data to make and facilitate good decision making that yields awesome results is the stuff of dreams for any business professional really - but more so for the digital marketers. This great educational piece provides the right context to do just that! There really are too many choices out there where every social media is fighting for your dollar and many of them having minimal effect on the business at the end of the day. The impressions do not mean much if the conversion is uber low and the conversion value is in the single to low double digits. Thanks again! Usman
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1188241,1188098,Avinash Kaushik,2017-11-07T22:41:06,"Faisal: Parts of the framework, especially those concerning Paid Ads, are still relevant. For the rest, I've evolved my point of view based on how Facebook has changed its purpose and business strategy. See my latest detailed post on that topic, with a new recommendation for Facebook: Stop All Social Media Activity (Organic) | Solve For A Profitable Reality. -Avinash."
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1188098,0,Faisal,2017-11-07T11:01:12,"Hi Avinash. Probably you have got this q before but pls excuse me if I am asking again. The question is: do you still think your measurement framework for Facebook is valid given the fact Facebook allows you to optimize for different purposes such as reach and frequency, engagement, clicks to website etc?"
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1174582,0,Mark Elder,2017-08-06T20:21:58,"Hi Avinash, I am a big fan of your blog. I had read many of your great articles and learn great techniques and methods to do proper research. This post was above and beyond in so many ways. The information is invaluable, and all case studies are very inspiring. Thank you."
"Best Social Media Metrics: Conversation, Amplification, Applause, Economic Value",https://www.kaushik.net/avinash/best-social-media-metrics-conversation-amplification-applause-economic-value/,4538,1172687,0,I O M,2017-07-25T19:28:20,"“The biggest brands in the world embarrass themselves every day on social media”. I couldn't agree more; the market share for the biggest corporations is slowly dwindling because they fail to connect with their consumers on a more personal level. YouTube, Facebook, Instagram is filling that void right now and they better smarten up. Personal brands are huge and making massive profits right now, thanks to mostly YouTube and Instagram. We are really crushing it for our clients with Instagram advertising right now."
"See-Think-Do: A Content, Marketing, Measurement Business Framework",https://www.kaushik.net/avinash/see-think-do-content-marketing-measurement-business-framework/,5924,1779088,1778415,Avinash Kaushik,2022-01-23T16:41:06,"Sabelo: Everything we do to decipher intent is predictive, hence I'm not sure I see the difference. Say, I can look at the keyword query “best android smart phone” and predict that perhaps you are right client for our business and bid on that query. Furthermore, I can also estimate the Lifetime Value for you, and predict how much we should bid for that query. So, think intent predicted from the keyword query and then a bid predicted based on an estimation of Lifetime Value. I hope this is helpful. -Avinash."
