
Company Name,Official Website,LinkedIn Profile URL,Facebook Page URL,Instagram Profile URL,Twitter/X Profile URL,YouTube Channel URL,Contact Page URL,Headquarters Location,Product Categories,Company Type,Profile Status,Website Status,Notes/Issues,Date Researched
Purina (Nestlé Purina),https://www.purina.com,https://www.linkedin.com/company/nestle-purina-petcare,https://www.facebook.com/Purina,https://www.instagram.com/purina,https://twitter.com/Purina,https://www.youtube.com/user/Purina,https://www.purina.com/contact-us,"St. Louis, Missouri, USA","Dog food, cat food, treats, animal health products, cat litter",Subsidiary (Parent: Nestlé S.A.),Active,Active,"Purina is a subsidiary of Nestlé; HQ at 800 Chouteau Ave, St. Louis; product categories include pet food and litter.",2025-10-27
Hill's Pet Nutrition,https://www.hillspet.com,https://www.linkedin.com/company/hills-pet-nutrition,https://www.facebook.com/HillsPet,https://www.instagram.com/hillspet,https://twitter.com/HillsPet,https://www.youtube.com/user/hillspet,https://www.hillspet.com/about-us/contact-us,"Overland Park, Kansas, USA",Prescription Diet and Science Diet dog and cat food,Subsidiary (Parent: Colgate‑Palmolive),Active,Active,Hill’s Pet Nutrition is a subsidiary of Colgate‑Palmolive; produces dog and cat food.,2025-10-27
Iams,https://www.iams.com,https://www.linkedin.com/company/iams,https://www.facebook.com/Iams,https://www.instagram.com/iams,https://twitter.com/Iams,https://www.youtube.com/user/Iams,https://www.iams.com/contact-us,"Brand owned by Mars, Incorporated (HQ not separate)",Dog and cat food,Brand (owned by Mars in most markets; Spectrum Brands in Europe),Active,Active,Iams is a pet food brand owned by Mars (outside Europe) and Spectrum Brands (Europe); not a standalone company.,2025-10-27
Blue Buffalo,https://bluebuffalo.com,https://www.linkedin.com/company/blue-buffalo,https://www.facebook.com/BlueBuffalo,https://www.instagram.com/bluebuffalo,https://twitter.com/BlueBuffalo,https://www.youtube.com/user/BlueBuffaloCO,https://bluebuffalo.com/contact-us,"Wilton, Connecticut, USA","Natural dog and cat foods, treats and veterinary diets",Subsidiary (Parent: General Mills),Active,Active,"Blue Buffalo was acquired by General Mills in 2018; HQ in Wilton, Connecticut and manufacturing in Missouri and Indiana.",2025-10-27
Pedigree (Pedigree Petfoods),https://www.pedigree.com,https://www.linkedin.com/company/pedigree-petfoods,https://www.facebook.com/Pedigree,https://www.instagram.com/pedigree,https://twitter.com/PedigreeUS,https://www.youtube.com/user/PedigreeBrand,https://www.pedigree.com/contact-us,"McLean, Virginia, USA",Dog food and dog treats,"Subsidiary (Parent: Mars Petcare, division of Mars, Inc.)",Active,Active,"Pedigree Petfoods is a subsidiary of Mars Petcare; headquarters at Mars’s McLean, Virginia offices.",2025-10-27
Royal Canin,https://www.royalcanin.com,https://www.linkedin.com/company/royal-canin,https://www.facebook.com/RoyalCanin,https://www.instagram.com/royalcanin,https://twitter.com/RoyalCanin,https://www.youtube.com/user/RoyalCanin,https://www.royalcanin.com/us/contact-us,"Aimargues, Gard, France","Dog and cat food, veterinary diets","Subsidiary (Parent: Mars, Inc.)",Active,Active,"Royal Canin is a subsidiary of Mars Inc.; HQ in Aimargues, France.",2025-10-27
Taste of the Wild,https://www.tasteofthewildpetfood.com,https://www.linkedin.com/company/taste-of-the-wild,https://www.facebook.com/TasteoftheWildPetFood,https://www.instagram.com/tasteofthewildpetfood,https://twitter.com/TasteOfTheWild,https://www.youtube.com/c/TasteoftheWild,https://www.tasteofthewildpetfood.com/contact-us/,"Meta, Missouri, USA (Diamond Pet Foods HQ)",Dog food and cat food with protein-rich formulas,"Brand (produced by Diamond Pet Foods, a private company)",Active,Active,"Taste of the Wild is a brand of Diamond Pet Foods; HQ is Diamond’s headquarters in Meta, Missouri; contact page provides phone support.",2025-10-27
Orijen,https://www.orijen.ca,https://www.linkedin.com/company/orijen-pet-food,https://www.facebook.com/Orijen,https://www.instagram.com/orijenpetfood,https://twitter.com/ORIJENPetFood,https://www.youtube.com/user/orijen,https://www.orijenpetfoods.com/contact-us/,"Edmonton, Alberta, Canada",Premium dog food and cat food,"Brand (part of Champion Petfoods, acquired by Mars in 2023)",Active,Active,"Orijen is a premium pet food brand manufactured by Champion Petfoods; HQ in Edmonton, Alberta; parent company Champion Petfoods is now owned by Mars.",2025-10-27
Acana,https://www.acana.com,https://www.linkedin.com/company/acana-pet-food,https://www.facebook.com/acanapetfoods,https://www.instagram.com/acana_petfood,https://twitter.com/acanapetfood,https://www.youtube.com/c/ACANApets,https://www.acana.com/contact-us,"Edmonton, Alberta, Canada","Premium dog and cat foods, including kibble, wet food and treats","Brand (part of Champion Petfoods, acquired by Mars in 2023)",Active,Active,"Acana is a pet food brand produced by Champion Petfoods; HQ in Edmonton, Alberta; parent company Champion Petfoods is now owned by Mars.",2025-10-27
Merrick Pet Care,https://www.merrickpetcare.com,https://www.linkedin.com/company/merrick-pet-care,https://www.facebook.com/MerrickPetCare,https://www.instagram.com/merrickpetcare,https://twitter.com/MerrickPetCare,https://www.youtube.com/user/MerrickPetCare,https://www.merrickpetcare.com/contact,"Neenah, Wisconsin, USA","Natural dog and cat foods, including dry, wet and treat products",Subsidiary (Parent: Nestlé Purina PetCare),Active,Active,"Merrick Pet Care is a subsidiary of Nestlé Purina; founded in Texas and now headquartered in Neenah, Wisconsin.",2025-10-27
