
Company,Original Address,Updated Address,Address Verified,Original Email,Updated Email,Email Verified,Notes
HubSpot,"2 Canal Park, Cambridge, MA 02141","2 Canal Park, Cambridge, MA 02141, United States",Yes,contact@hubspot.com,contact@hubspot.com,No,"Official contact page lists global headquarters at 2 Canal Park, Cambridge, MA 02141https://www.hubspot.com/company/contact#:~:text=Global%20Headquarters. No official general email found; contact@hubspot.com remains unverified."
Salesforce,"415 Mission St, San Francisco, CA 94105","415 Mission Street, 3rd Floor, San Francisco, CA 94105, United States",No,sales@salesforce.com,sales@salesforce.com,No,Could not access an official page to confirm headquarters or sales email; both remain unverified.
Slack,"500 Howard St, San Francisco, CA 94105","500 Howard Street, San Francisco, CA 94105, United States",No,feedback@slack.com,feedback@slack.com,No,Attempted to access Slack contact page but due to website restrictions could not verify address or email; both remain unverified.
Zoom,"55 Almaden Boulevard, San Jose, CA 95110","55 Almaden Blvd #600, San Jose, CA 95113, United States",Yes,sales@zoom.us,sales@zoom.us,Yes,"Investor FAQ page lists headquarters at 55 Almaden Blvd #600, San Jose, CA 95113https://investors.zoom.us/resources/investor-faqs#:~:text=Zoom%E2%80%99s%20Headquarters%20are%20located%20at,600%2C%20San%20Jose%2C%20CA%2095113. A Zoom sales support PDF lists the contact email sales@zoom.us with phone number 1‑888‑799‑9666explore.zoom.us/docs/doc/Zoom-Premier-Support-Overview.pdf#:~:text=Zoom%20Customer%20Support%20Programs%20,9666%20zoom.us."
Atlassian,"341 George St, Sydney NSW 2000, AU","Level 6, 341 George Street, Sydney NSW 2000, Australia",Yes,hello@atlassian.com,hello@atlassian.com,No,"Atlassian contact page lists global headquarters as Level 6, 341 George Street, Sydney, NSW 2000https://www.atlassian.com/company/contact#:~:text=Sydney%20. No general email address provided; hello@atlassian.com remains unverified."
Notion,"303 2nd St, San Francisco, CA 94107","2300 Harrison Street, San Francisco, CA 94110, United States",Yes,sales@notion.so,team@makenotion.com,Yes,"DataRequests privacy contact page lists Notion Labs address as 2300 Harrison Street, San Francisco, CA 94110 and email team@makenotion.comfile:///home/oai/redirect.html#:~:text=Address%3A%20Notion%20Labs%2C%20Inc,Francisco%2C%20CA%2094110%20United%20States."
Figma,"333 Bush St, San Francisco, CA 94104","760 Market Street, Floor 10, San Francisco, CA 94102, United States",Yes,sales@figma.com,sales@figma.com,No,"BBB business profile for Figma Inc. lists the company address as 760 Market St, Floor 10, San Francisco, CA 94102https://www.bbb.org/us/ca/san-francisco/profile/information-technology-services/figma-inc-1116-937975#:~:text=Figma%20Inc. No official sales email found; sales@figma.com remains unverified."
Asana,"1550 Bryant St, San Francisco, CA 94103","633 Folsom Street, Suite 100, San Francisco, CA 94107, United States",Yes,sales@asana.com,sales@asana.com,Yes,"Asana’s stockholder communications policy states communications should be sent to 633 Folsom Street, Suite 100, San Francisco, CA 94107investors.asana.com/static-files/600c21e2-1fd8-4ddf-9779-9e22f54168b7#:~:text=Counsel%20at%20Asana%2C%20Inc,name%20and%20address%20of%20the. An Asana PDF notes that additional information about organizations may be requested via sales@asana.comd1gwm4cf8hecp4.cloudfront.net/pdf/Asana-Organizations.pdf#:~:text=For%20additional%20information%20about%20Asana,great%20teams%20get%20things%20done."
Stripe,"395 Page Mill Rd, Palo Alto, CA 94306","354 Oyster Point Blvd, South San Francisco, CA 94080, United States",Yes,contact@stripe.com,contact@stripe.com,No,"MapQuest business listing shows Stripe’s address at 354 Oyster Point Blvd, South San Francisco, CA 94080file:///home/oai/redirect.html#:~:text=Advertisement. No official general email found; contact@stripe.com remains unverified."
Shopify,"2 Metcalfe St, Toronto, Ontario M5H 2N2","151 O'Connor Street, Ottawa, ON K2P 2L8, Canada",Yes,support@shopify.com,support@shopify.com,No,"BBB business profile for Shopify Inc. lists head office address as 151 O'Connor Street, Ottawa, ON K2P 2L8https://www.bbb.org/ca/on/ottawa/profile/ecommerce/shopify-inc-0117-39813#:~:text=Shopify%20Inc. Support email not confirmed; support@shopify.com remains unverified."
Twilio,"375 Beale St, San Francisco, CA 94105","101 Spear Street, Suite 500, San Francisco, CA 94105, United States",Yes,sales@twilio.com,sales@twilio.com,No,"Twilio’s 2024 10-K filing lists mailing and business address as 101 Spear Street, Suite 500, San Francisco, CA 94105 with phone number 415‑390‑2337https://www.sec.gov/Archives/edgar/data/1447669/000144766925000035/0001447669-25-000035-index.htm#:~:text=Mailing%20Address%20101%20SPEAR%20STREET,500%20San%20Francisco%20CA%2094105. No official sales email found; sales@twilio.com remains unverified."
DocuSign,"221 Main St, San Francisco, CA 94105","221 Main Street, Suite 1550, San Francisco, CA 94105, United States",Yes,sales@docusign.com,sales@docusign.com,Yes,"DocuSign’s 2025 Form 10-K lists principal executive offices at 221 Main St, Suite 1550, San Francisco, CA 94105https://www.sec.gov/Archives/edgar/data/1261333/000126133325000024/docu-20250131.htm#:~:text=221%20Main%20St,Zip%20Code. A DocuSign CLM datasheet lists contact information: sales@docusign.com, phone +1-877-720-2040, and address 221 Main Street, Suite 1550ic.carahsoft.com/concrete/files/7916/5244/5622/DocuSign_CLM_WRAPPED.pdf#:~:text=For%20more%20information%20sales%40docusign.com%20%2B1,1550%20San%20Francisco%2C%20CA%2094105."
