Store Name,Atmosphere & Style,Key Product Categories,Price Range (indicative),Customer Service Experience,Standout Pieces or Unique Features,Photos / Illustrative Links,Sources
Aïshti,"Ultra-luxury, contemporary art-infused retail spaces (Downtown Beirut, Aïshti by the Sea). Sleek, modern galleries with curated designer edits.","Designer ready-to-wear, shoes, bags, accessories; multi-brand luxury department store.","$$$$ (luxury designer; typical RTW pieces often $800–$3000+, bags and couture higher).","Professional luxury service; fashion advisors; in-store appointments; active digital presence via Instagram.","Aïshti Foundation art complex; multi-brand curation across top houses (Prada, Dior, Valentino, etc.).","https://www.instagram.com/aishtiworld/ | https://www.aishti.com/","Official site: https://www.aishti.com/ | Instagram: https://www.instagram.com/aishtiworld/ | Background: https://en.wikipedia.org/wiki/A%C3%AFshti"
Bokja Design,"Artisanal, bohemian, and story-driven design studio atmosphere; colorful textiles and embroidery; creative, gallery-like space.","Wardrobe (silk dresses, robes, tops), bags and accessories; furniture and textile art.","$$$ (artisan-made garments and furniture; many wardrobe items typically $150–$600+, larger pieces higher).","Boutique studio experience; online shop; responsive social media showcasing new drops and storytelling.","Signature embroidered textiles and one-of-a-kind upcycled fabrics; narrative-driven designs.","https://bokja.com/shop | https://www.instagram.com/bokjadesign/","Official site: https://bokja.com/ | Shop: https://bokja.com/shop | Instagram: https://www.instagram.com/bokjadesign/"
CHANEL Beirut Boutique,"Iconic Parisian luxury ambiance; minimal, refined interiors; private clienteling in Downtown Beirut.","Women’s ready-to-wear, handbags, shoes, accessories; fine jewelry and watches (availability varies).","$$$$ (global CHANEL pricing; handbags and RTW in luxury tier).","By-appointment fashion advisors; CHANEL-level clienteling; clear store details and phone via official locator.","Flagship designer experience; latest collections; exclusive accessories.","https://www.chanel.com/us/fashion/services/boutique-beirut/ | https://www.instagram.com/explore/locations/273004990/chanel-boutique-in-beirut/","Store locator: https://www.chanel.com/us/fashion/services/boutique-beirut/ | Alt locator: https://www.chanel.com/gr/storelocator/store/chanel-beyrouth-316/ | Instagram location: https://www.instagram.com/explore/locations/273004990/chanel-boutique-in-beirut/"
DEPOT-VENTE Beirut,"Urban, vintage/thrift vibe; eclectic racks and curated second-hand finds; creative Mar Mikhael spirit.","Vintage and second-hand clothing, jewelry, accessories; occasional furniture and oddities.","$–$$ (thrift/vintage pricing, varied by item and condition).","Friendly, local shop feel; active on Facebook and Instagram; typical open-hour walk-ins.","Curated vintage edits; local cult following.","https://www.facebook.com/depotventebeirut/ | https://www.instagram.com/depotventebeirut/","Facebook: https://www.facebook.com/depotventebeirut/ | Beirut.com: https://www.beirut.com/en/directory/depot-vente/ | Instagram: https://www.instagram.com/explore/locations/340646952/depot-vente-beirut/"
Depechemode Boutique,"Polished multi-brand concept; contemporary-luxury atmosphere across multiple Beirut/Dbayeh locations.","Women’s designer multi-brand RTW and accessories; curated international labels; online store.","$$$ (premium contemporary/designer; dresses and sets often $200–$800+, higher for select brands).","Multi-location service; online shop; frequent styling posts on Instagram; in-store assistance.","450m² flagship; broad brand matrix; strong seasonal edits.","https://www.depechemode.com.lb/ | https://www.instagram.com/depechemodebeirut/","Official site: https://www.depechemode.com.lb/ | Stores page: https://www.depechemode.com.lb/stores | Instagram: https://www.instagram.com/depechemodebeirut/"
Ets. Nakhle,"Classic luxury boutique feel; elegant, timeless interiors; legacy Lebanese retailer (since 1954).","Women’s occasionwear, gowns, dresses, and accessories; curated international fashion.","$$$–$$$$ (high-end occasionwear; gowns often $500+ into luxury tier).","Multi-branch service (Kaslik, Hamra, Downtown); stylists and personalized assistance; active Instagram.","Heritage curation and renovated spaces; bold couture-like selections.","https://nakhleboutiques.com/ | https://www.instagram.com/nakhle.ets/","Official site: https://nakhleboutiques.com/ | Collections: https://nakhleboutiques.com/collections | Instagram: https://www.instagram.com/nakhle.ets/"
GarageLuxe,"Upscale consignment/resale; minimalist, curated displays; designer-focused pre-owned luxury.","Pre-owned women’s luxury fashion: bags, shoes, RTW, accessories; consign & shop model.","$$–$$$ (designer resale; examples show bags around $500+, varying by brand and condition).","WhatsApp and social DMs; responsive IG presence; consignment services; appointments possible.","High-end designer resale with authentication; frequent drops showcased on IG.","https://www.instagram.com/garageluxefashion/ | https://www.facebook.com/garageluxefashion/","Instagram: https://www.instagram.com/garageluxefashion/ | Facebook: https://www.facebook.com/garageluxefashion/ | Overview: https://www.zoominfo.com/c/garage-luxe/430315686"
Key Couture,"Trendy, feminine e-commerce-led label; clean modern aesthetic; pop-up or showroom vibes.","Women’s dresses, tops, sets; fast new collections; online-first with local shipping.","$–$$ (many items listed ~$39–$120+ based on site collections).","Online ordering with express shipping; active Instagram; customer DMs and web chat.","Popular party and occasion dresses; frequent influencer features.","https://keycouture.com/collections/all | https://www.instagram.com/keycouture/","Official site: https://keycouture.com/ | Dresses: https://keycouture.com/collections/dresses | Instagram: https://www.instagram.com/keycouture/"
Maison 123 (Lebanon),"French high-street meets feminine chic; boutique corners at ABC; polished, accessible-luxe feel.","Women’s RTW, dresses, knits, suits, accessories; seasonal collections.","$$ (mid-range; typical dresses and sets ~$100–$250+ per global site references).","In-store at ABC and online in Lebanon; social media presence with collection highlights.","Parisian-inspired staples and seasonal drops; accessories line-ups.","https://maison123-lb.com/ | https://www.instagram.com/maison123.lebanon/","Lebanon site: https://maison123-lb.com/ | International: https://int.maison123.com/ | Instagram: https://www.instagram.com/maison123.lebanon/"
Orient 499,"Handcrafted luxury with Levantine aesthetics; serene, artisanal boutique and atelier.","Designer dresses/kaftans, lifestyle/home decor, accessories; limited-edition artisan pieces.","$$$–$$$$ (artisan luxury; dresses and kaftans typically premium pricing; decor items vary).","Flagship boutique in Beirut (and Dubai); online shop; attentive boutique service.","Artisanal craftsmanship; signature Levant-inspired textiles; seasonal collections.","https://orient499.com/collections/dresses | https://www.instagram.com/orient499/","Official site: https://orient499.com/ | Dresses: https://orient499.com/collections/dresses | Instagram: https://www.instagram.com/orient499/"
