Address,Street,City,Postal Code,Country,gpt_flag,gpt_flag_reason,internal_flag,internal_flag_details,unmapped_components,confidence,raw_input_for_model
"3880 King Street, M4E 2S8 Toronto, ON",3880 King Street,Toronto,M4E 2S8,Canada,ok,"Parsed Canadian address with clear street, city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""Ontario""}",0.94,"3880 King Street, M4E 2S8 Toronto, ON"
"4794 Cedar Boulevard, Philadelphia 19106, USA",4794 Cedar Boulevard,Philadelphia,19106,United States,ok,All core fields parsed; inferred state from ZIP.,True,unmapped_extra_components,"{""state"": ""Pennsylvania""}",0.94,"4794 Cedar Boulevard, Philadelphia 19106, USA"
"1930 Yonge Street, Calgary, AB, T2P 2M5, Canada",1930 Yonge Street,Calgary,T2P 2M5,Canada,ambiguous,"Street name suggests Toronto, but city/province/postal code indicate Calgary; potential mismatch in input.",True,unmapped_extra_components,"{""province"": ""AB""}",0.5,"1930 Yonge Street, Calgary, AB, T2P 2M5, Canada"
"2941 Bay Street, M6G 1C4 Toronto, ON",2941 Bay Street,Toronto,M6G 1C4,Canada,ok,Recognized Canadian postal code and province; city and street are clear.,True,unmapped_extra_components,"{""province"": ""ON""}",0.93,"2941 Bay Street, M6G 1C4 Toronto, ON"
"Elm Street 3096, Phoenix, AZ 85012",3096 Elm Street,Phoenix,85012,United States,ok,"Standard US address with clear house number, street, city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""AZ""}",0.98,"Elm Street 3096, Phoenix, AZ 85012"
2285 Maple Avenue Vancouver BC V7Y 1G5 Canada,2285 Maple Avenue,Vancouver,V7Y 1G5,Canada,ok,Parsed standard Canadian address with clear components.,True,unmapped_extra_components,"{""province"": ""BC""}",0.98,2285 Maple Avenue Vancouver BC V7Y 1G5 Canada
"6280 King Street, Calgary AB T1Y 6B4",6280 King Street,Calgary,T1Y 6B4,Canada,ok,"Standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""Alberta""}",0.98,"6280 King Street, Calgary AB T1Y 6B4"
"472 Green Lane, London, UK, SE1 7PB",472 Green Lane,London,SE1 7PB,United Kingdom,ok,All core fields present and consistent with UK addressing.,False,,,0.88,"472 Green Lane, London, UK, SE1 7PB"
"5242 Cedar Boulevard, Phoenix AZ 85012",5242 Cedar Boulevard,Phoenix,85012,United States,ok,"Parsed US address with clear city, state, and ZIP",True,unmapped_extra_components,"{""state"": ""Arizona""}",0.96,"5242 Cedar Boulevard, Phoenix AZ 85012"
"4111 Broadway, Houston TX 77002",4111 Broadway,Houston,77002,United States,ok,"Parsed US address with clear street, city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""TX""}",0.99,"4111 Broadway, Houston TX 77002"
