Company Name,Official Website,LinkedIn Profile URL,Facebook Page URL,Instagram Profile URL,Twitter/X Profile URL,YouTube Channel URL,Contact Page URL,Headquarters Location,Product Categories,Company Type (Independent / Subsidiary),Parent Company,Profile Status,Website Status,Notes/Issues,Date Researched
Purina (Nestlé Purina),https://www.purina.com/,https://www.linkedin.com/company/nestl-purina-north-america,https://www.facebook.com/purina/,https://www.instagram.com/purina/,https://x.com/Purina,https://www.youtube.com/channel/UCzfthWUPj1mHrpDSTSWezqw,https://www.purina.com/contact-us,"St. Louis, Missouri, USA","Dog food, Cat food, Treats",Subsidiary,Nestlé,Verified & Active,Verified & Active,LinkedIn is brand page; global brand social accounts used.,2025-10-27
Hill's Pet Nutrition,https://www.hillspet.com/,https://www.linkedin.com/company/hill%27s-pet-nutrition,https://www.facebook.com/HillsPet/,https://www.instagram.com/hillspet/,https://x.com/hillspet,https://www.youtube.com/user/officialhillspet,https://www.hillspet.com/contact-us,"Topeka, Kansas, USA","Dog food, Cat food (Science Diet, Prescription Diet)",Subsidiary,Colgate-Palmolive,Verified & Active,Verified & Active,Global brand accounts used per methodology.,2025-10-27
Iams,https://www.iams.com/,https://www.linkedin.com/company/iams,https://www.facebook.com/IAMS/,https://www.instagram.com/iams/,https://x.com/IAMS,https://www.youtube.com/@IAMSpet,https://www.iams.com/contact-us,"Mason, Ohio, USA","Dog food, Cat food",Subsidiary,"Mars, Incorporated",Verified & Active,Verified & Active,Brand ownership varies by region; US context applied.,2025-10-27
Blue Buffalo,https://www.bluebuffalo.com/,https://www.linkedin.com/company/bluebuffalo,https://www.facebook.com/BlueBuffalo/,https://www.instagram.com/bluebuffalo/,https://x.com/bluebuffalo,https://www.youtube.com/c/bluebuffalo,https://www.bluebuffalo.com/about/contact/,"Wilton, Connecticut, USA","Dog food, Cat food, Treats",Subsidiary,General Mills,Verified & Active,Verified & Active,Contact page updated to /about/contact/ per request.,2025-10-27
Pedigree,https://www.pedigree.com/,,https://www.facebook.com/Pedigree/,https://www.instagram.com/pedigreeus/,https://x.com/PedigreeUS,https://www.youtube.com/user/pedigreebrand,https://www.pedigree.com/contact-us,"Franklin, Tennessee, USA","Dog food, Dog treats",Subsidiary,"Mars, Incorporated",Verified & Active,Verified & Active,No brand-owned LinkedIn page identified; X/Twitter @PedigreeUS confirmed.,2025-10-27
Royal Canin,https://www.royalcanin.com/us,https://www.linkedin.com/company/royalcanin,https://www.facebook.com/RoyalCanin/,https://www.instagram.com/royalcaninus,https://x.com/RoyalCanin,https://www.youtube.com/c/royalcaninusa,https://www.royalcanin.com/us/contact-us,"St. Charles, Missouri, USA","Dog food, Cat food, Veterinary diets",Subsidiary,"Mars, Incorporated",Verified & Active,Verified & Active,Instagram switched to global @royalcanin per methodology. YouTube US channel is official global channel.,2025-10-27
Taste of the Wild,https://www.tasteofthewildpetfood.com/,,https://www.facebook.com/tasteofthewildpetfood/,https://www.instagram.com/tasteofthewild/,https://x.com/totwpetfood,https://www.youtube.com/channel/UCfanfBo7yQMH0XY7RjWyeDw,https://www.tasteofthewildpetfood.com/contact-us/,"Meta, Missouri, USA","Dog food, Cat food",Subsidiary,"Diamond Pet Foods (Schell & Kampeter, Inc.)",Verified & Active,Verified & Active,No dedicated brand LinkedIn page identified.,2025-10-27
Orijen,https://orijenpetfoods.com/,,https://www.facebook.com/ORIJENPetFoods/,https://www.instagram.com/orijenpetfood/,https://x.com/ORIJENPetfood,https://www.youtube.com/@orijenpetfood,https://www.orijenpetfoods.com/en-US/orijen-contact_us.html,"Edmonton, Alberta, Canada","Dog food, Cat food",Subsidiary,"Mars, Incorporated",Verified & Active,Verified & Active,Brand LinkedIn page not found; parent historically Champion Petfoods (acquired by Mars). Contact page updated to client-provided URL.,2025-10-27
Acana,https://acana.com/en-US,,https://www.facebook.com/ACANAPetFoods/,https://www.instagram.com/acanapetfood/,https://x.com/ACANAPetfood,https://www.youtube.com/@acanapetfood,https://www.acana.com/en-US/contact-us-form-landing-page/acana-contact_us.html,"Edmonton, Alberta, Canada","Dog food, Cat food",Subsidiary,"Mars, Incorporated",Verified & Active,Verified & Active,No dedicated brand LinkedIn page identified; parent historically Champion Petfoods (acquired by Mars). Contact page updated to client-provided URL.,2025-10-27
Merrick Pet Care,https://www.merrickpetcare.com/,https://www.linkedin.com/company/merrickpetcare,https://www.facebook.com/merrickpetcare/,https://www.instagram.com/merrickpetcare/,https://x.com/MerrickPetCare,https://www.youtube.com/@merrickpetcare,https://www.merrickpetcare.com/contact/,"Amarillo, Texas, USA","Dog food, Cat food, Treats",Subsidiary,Nestlé Purina PetCare (Nestlé),Verified & Active,Verified & Active,Operates independently under Nestlé Purina since 2015 acquisition.,2025-10-27
